simulation_time,GFM_V,GFM_P,GFL634_Pa,GFL634_Pb,GFL634_Pc,GFL634_Qa,GFL634_Qb,GFL634_Qc,GFL680_Pa,GFL680_Pb,GFL680_Pc,GFL680_Qa,GFL680_Qb,GFL680_Qc,Class
614.3875,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
615.5932,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
616.7997,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
618.0071,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
619.2155,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
620.4239,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
621.6438,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
622.8379,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
624.0469,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
625.2543,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
626.476,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
627.6666,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
628.8731,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
630.0797,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
631.2847,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
632.4908,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
633.6965,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
634.9026,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
636.1082,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
637.3159,664.669869576772,0.45,175,175,175,-303.108891324553,60.7776628375919,-303.108891324553,175,175,175,-303.108891324553,-303.108891324553,-303.108891324553,1
